3.34916663 -3179.0 4995.80371
3.36583328 -3183.0 4995.99463
3.38249993 -3315.0 4995.78467
3.39916658 -3215.0 4995.99463
3.41583323 -3240.0 4995.44141
3.43249989 -3052.0 4996.96729
3.44916677 -3172.0 4996.50977
3.46583343 -3097.0 4995.55566
3.48250008 -3240.0 4995.99463
3.49916673 -3052.0 4995.55566
3.51583338 -2307.0 4996.01367
3.53250003 -2299.0 4996.01367
3.54916668 -2401.0 4996.01367
3.56583333 -2514.0 4996.01367
3.58249998 -2436.0 4996.01367
3.59916663 -2247.0 4996.01367
3.61583328 -2243.0 4996.01367
3.63249993 -2300.0 4996.01367
3.64916658 -2987.0 4996.01367
3.66583347 -2524.0 4996.01367
3.68249989 -2949.0 4995.00293
3.69916677 -2803.0 4996.94824
3.71583319 -2844.0 4995.28906
3.73250008 -2901.0 4995.2124
3.74916673 -2997.0 4995.82275
3.76583338 -2894.0 4995.55566
3.78250003 -2932.0 4995.34619
3.79916668 -3008.0 4995.25049
3.81583333 -2771.0 4995.32715
3.83249998 -3071.0 4996.96729
3.84916663 -2836.0 4995.13623
3.86583328 -2775.0 4995.02197
3.88249993 -2657.0 4995.61328
3.89916658 -2320.0 4996.96729
3.91583347 -2924.0 4996.03271
3.93249989 -2450.0 4996.94824
3.94916677 -2979.0 4996.94824
3.96583319 -2456.0 4996.94824
3.98250008 -2926.0 4995.53662
3.99916673 -2753.0 4996.01367
4.01583338 -2195.0 4996.01367
4.03249979 -2198.0 4996.01367
4.04916668 -2130.0 4996.01367
4.06583309 -2440.0 4996.01367
4.08249998 -2383.0 4996.01367
4.09916687 -2505.0 4996.01367
4.11583328 -2830.0 4996.01367
4.13250017 -2809.0 4996.94824
4.14916658 -3011.0 4995.06006
4.16583347 -2718.0 4996.96729
4.18249989 -3108.0 4995.97559
4.19916677 -2939.0 4996.96729
4.21583319 -3033.0 4995.74658
4.23250008 -2780.0 4996.96729
4.24916649 -3132.0 4996.73828
4.26583338 -2751.0 4996.94824
4.28249979 -3061.0 4995.00293
4.29916668 -2722.0 4996.94824
4.31583309 -2977.0 4995.82275
4.33249998 -2468.0 4996.94824
4.34916687 -2894.0 4996.96729
4.36583328 -2777.0 4996.94824
4.38250017 -2920.0 4996.73828
4.39916658 -2298.0 4996.94824
4.41583347 -2794.0 4996.77637
4.43249989 -2240.0 4996.94824
4.44916677 -2870.0 4996.73828
4.46583319 -2608.0 4996.96729
4.48250008 -2734.0 4996.96729
4.49916649 -3020.0 4995.59424
4.51583338 -2440.0 4996.01367
4.53250027 -2394.0 4996.96729
4.54916668 -2475.0 4996.01367
4.56583309 -2486.0 4996.96729
4.58249998 -2486.0 4996.01367
4.59916687 -2482.0 4996.94824
4.61583328 -2562.0 4996.01367
4.63250017 -2293.0 4996.94824
4.64916658 -2726.0 4996.94824
4.66583347 -2645.0 4996.96729
4.68249989 -2938.0 4996.96729
4.69916677 -2755.0 4996.96729
4.71583319 -2771.0 4996.94824
4.73250008 -2998.0 4995.80371
4.74916649 -2914.0 4996.96729
4.76583338 -3111.0 4995.55566
4.78250027 -2668.0 4996.94824
4.79916668 -2970.0 4996.01367
4.81583309 -3039.0 4995.2124
4.83249998 -2390.0 4995.19336
4.84916687 -2785.0 4995.25049
4.86583328 -2968.0 4995.32715
4.88250017 -2742.0 4996.96729
4.89916658 -2435.0 4996.96729
4.91583347 -2687.0 4996.94824
4.93249989 -2497.0 4996.94824
4.94916677 -2489.0 4996.94824
4.96583319 -2542.0 4996.94824
4.98250008 -2468.0 4996.96729
4.99916649 -2943.0 4996.20459
5.01583338 -2913.0 4996.01367
5.03249979 -2372.0 4996.94824
5.04916668 -2364.0 4996.96729
5.06583309 -2832.0 4996.37598
5.08249998 -2808.0 4996.62402
5.09916687 -2424.0 4996.96729
5.11583328 -2515.0 4996.96729
5.13250017 -2315.0 4996.94824
5.14916658 -2408.0 4996.66211
5.16583347 -2310.0 4996.94824
5.18249989 -2766.0 4995.97559
5.19916677 -2317.0 4996.94824
5.21583319 -2203.0 4996.96729
5.23250008 -2546.0 4996.96729
5.24916649 -2964.0 4996.73828
5.26583338 -2694.0 4996.94824
5.28249979 -2922.0 4996.62402
5.29916668 -2484.0 4996.96729
5.31583309 -2588.0 4995.17432
5.33249998 -2470.0 4996.94824
5.34916687 -2249.0 4996.94824
5.36583328 -2350.0 4996.94824
5.38250017 -2449.0 4996.94824
5.39916658 -2535.0 4996.96729
5.41583347 -2133.0 4996.94824
5.43249989 -2796.0 4996.75732
5.44916677 -2164.0 4996.94824
5.46583319 -2876.0 4996.75732
5.48250008 -2291.0 4996.94824
5.49916649 -2722.0 4996.39502
5.51583338 -3024.0 4995.46045
5.53250027 -3052.0 4995.72754
5.54916668 -2561.0 4996.96729
5.56583309 -2893.0 4996.73828
5.58249998 -2262.0 4996.94824
5.59916687 -3056.0 4995.53662
5.61583328 -2453.0 4996.94824
5.63250017 -2834.0 4996.75732
5.64916658 -2408.0 4996.94824
5.66583347 -2866.0 4995.80371
5.68249989 -2473.0 4996.94824
5.69916677 -2886.0 4995.38428
5.71583319 -2416.0 4996.96729
5.73250008 -3073.0 4995.40332
5.74916649 -2679.0 4996.96729
5.76583338 -2886.0 4996.94824
5.78250027 -2618.0 4996.96729
5.79916668 -2850.0 4995.9375
5.81583309 -3008.0 4995.55566
5.83249998 -2971.0 4995.0791
5.84916687 -2715.0 4995.74658
5.86583328 -2912.0 4996.01367
5.88250017 -2908.0 4995.46045
5.89916658 -2633.0 4996.96729
5.91583347 -2408.0 4996.94824
